prefix,first_name,last_name,gender,phone_number,email,vehicle_description,vehicle_brand,manufacturing_year,model_name,vehicle_type,vehicle_condition,transmission_type,engine_capacity,drive_type,fuel_type,fuel_consumption,kilometres_driven,vehicle_colour,secondary_address,building_number,street_name,street_suffix,location,engine_cylinders,body_type,doors,seats,price
Mr.,Jose,Garcia,m,4633-5233,clynch@example.net,2014 Honda Jazz Hybrid,Honda,2014.0,Jazz,Hatchback,USED,Automatic,"4 cyl, 1.3 L",Front,Hybrid,4.5 L / 100 km,38229,Blue / -,Unit 41 ,63,Cox Crest,Mount,"Lidcombe, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,17900
Dr.,Courtney,Wood,f,+61.432.299.313,ucollins@example.org,2013 Ford Ranger XL 3.2 (4X4),Ford,2013.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,133168,White / -,Level 6 ,7,Ramirez Deviation,Part,"Caboolture, QLD",5 cyl,Ute / Tray, 2 Doors, 2 Seats,26990
Mrs.,Dumisile,Wasendlunkulu,f,08.3708.3270,shenry@example.org,1978 Porsche 911 SC,Porsche,1978.0,911,Convertible,USED,Manual,"6 cyl, 3 L",Rear,Leaded,0 L / 100 km,145600,Blue / -,Unit 17 ,6,Maria Riviera,Sound,"Medlow Bath, NSW",6 cyl,Convertible, 2 Doors, 4 Seats,97500
Mrs.,Anna,Terry,f,02-7521-6711,mperez@example.org,2006 Honda Accord V6 Luxury,Honda,2006.0,Accord,Sedan,USED,Automatic,"6 cyl, 3 L",Front,Unleaded,10.6 L / 100 km,209508,Gold / -,Level 9 ,9,Davis Nook,Subway,"Lansvale, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,6949
Mrs.,Joanna,Rivera,f,07 9571 6288,kdavis@example.org,2012 Kia Sorento Platinum (4X4),Kia,2012.0,Sorento,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.3 L / 100 km,134686,Grey / -,Apt. 440 ,511,Donna Underpass,Road,"Ringwood, VIC",4 cyl,SUV, 4 Doors, 7 Seats,21990
,Rachel,Snyder,u,3285.5144,hawkinsdanielle@example.net,2011 Nissan Micra ST,Nissan,2011.0,Micra,Hatchback,USED,Automatic,"3 cyl, 1.2 L",Front,Unleaded,6.5 L / 100 km,119674,Blue / Black,Flat 37 ,0,Danielle Chase,Pocket,"Islington, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,8865
Mr.,Todd,Smith,m,+61250204508,loganmark@example.net,2015 Toyota Kluger GXL (4X2),Toyota,2015.0,Kluger,SUV,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.2 L / 100 km,86329,Grey / Black,Level 0 ,176,Winters Junction,Expressway,"Fyshwick, ACT",6 cyl,SUV, 4 Doors, 7 Seats,31980
Ms.,Rose,Grant,f,7456.0345,gateslaura@example.com,2015 Ford Falcon XR8,Ford,2015.0,Falcon,Sedan,USED,Manual,"8 cyl, 5 L",Rear,Unleaded,13.6 L / 100 km,61809,White / -,Flat 17 ,73,Sarah Rest,Courtyard,"Rozelle, NSW",8 cyl,Sedan, 4 Doors, 5 Seats,63800
Mrs.,Kelly,Reed,f,(03) 1917 3228,teresabrown@example.com,2017 Mitsubishi Triton GLX,Mitsubishi,2017.0,Triton,Ute / Tray,USED,Automatic,"4 cyl, 2.4 L",Rear,Diesel,7.3 L / 100 km,219047,White / -,Apt. 609 ,9,Michele Mews,Rosebowl,"Blacktown, NSW",4 cyl,Ute / Tray, 2 Doors, 2 Seats,18999
,Laura,Davis,u,02 6509 6486,jamesspencer@example.com,2005 Nissan Navara ST-X (4X4),Nissan,2005.0,Navara,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,274360,Silver / -,Suite 381 ,75,Lisa Ride,Bridge,"Hoppers Crossing, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,9999
,Patricia,Orr,u,7644 6281,amandasalinas@example.com,2010 Kia Sorento SI (4X2),Kia,2010.0,Sorento,SUV,USED,Automatic,"4 cyl, 2.3 L",Front,Unleaded,9.2 L / 100 km,179000,Silver / Black  Cloth,759/,23,Thomas Wynd,Alleyway,"Saint Marys, SA",4 cyl,SUV, 4 Doors, 7 Seats,9990
,Jose,Thomas,u,0465.508.824,kjones@example.com,2011 Hyundai I30 SX,Hyundai,2011.0,I30,Hatchback,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,6.5 L / 100 km,132890,Blue / -,Unit 83 ,565,Melissa Port,Block,"Bentley, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,10982
Mrs.,Cassandra,Stewart,f,55888633,yshields@example.com,2010 Nissan Navara RX (4X4),Nissan,2010.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.5 L",4WD,Diesel,10.5 L / 100 km,281986,White / -,Level 8 ,180,Anthony Avenue,Ring,"Boolaroo, NSW",4 cyl,Ute / Tray, 2 Doors, 2 Seats,11800
Dr.,Danielle,Lopez,f,08.0377.0016,stevenmann@example.com,2016 Mitsubishi Triton GLX (4X4),Mitsubishi,2016.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.4 L",4WD,Diesel,7.2 L / 100 km,84679,White / -,0/,18,Shepard Glen,Tarn,"Sandgate, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,32995
Mrs.,Pamela,Smith,f,+61.8.4113.8652,brooke33@example.com,2017 Ford Ranger Wildtrak 3.2 (4X4),Ford,2017.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9 L / 100 km,176124,Black / Black,Flat 36 ,757,Brooks Rise,Quadrant,"Cessnock, NSW",5 cyl,Ute / Tray, 4 Doors, 5 Seats,44490
Dr.,Cody,Murphy,m,(07) 9582 9991,kellyespinoza@example.org,2013 Mazda 2 NEO Sport,Mazda,2013.0,2,Hatchback,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.8 L / 100 km,63626,Silver / -,Unit 83 ,804,Williams Approach,Wade,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,15995
Dr.,Edward,Douglas,m,7477 4955,bmcmillan@example.org,2015 Nissan Juke ST (fwd),Nissan,2015.0,Juke,SUV,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,6.3 L / 100 km,45177,White / -,Level 7 ,9,Cassandra Quays,Alley,"Bungalow, QLD",4 cyl,SUV, 4 Doors, 5 Seats,19990
Mrs.,Heidi,Cole,f,+61285556361,kroman@example.com,2017 Holden Commodore SS-V Redline Motorsport EDT,Holden,2017.0,Commodore,Sedan,USED,Manual,"8 cyl, 6.2 L",Rear,Premium,11.8 L / 100 km,4603,Black / -,Flat 25 ,510,Bruce Firetrail,Vale,"Collie, WA",8 cyl,Sedan, 4 Doors, 5 Seats,94990
Mr.,Jeffrey,Young,m,5712-2379,christopher51@example.com,2009 Holden Barina,Holden,2009.0,Barina,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,7.8 L / 100 km,53202,Silver / Grey Cloth,Level 8 ,664,Michelle Front,Cross,"Elderslie, NSW",4 cyl,Hatchback, 3 Doors, 5 Seats,9999
Mr.,Troy,Lee,m,+61.8.3315.0386,david61@example.com,2012 Hyundai Elantra Active,Hyundai,2012.0,Elantra,Sedan,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,6.6 L / 100 km,149000,Silver / -,Suite 271 ,1,Paul Path,Crescent,"Underwood, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,9000
Mr.,Jacob,Vasquez,m,07 9677 3793,morgan22@example.org,2014 Hyundai I30 Trophy,Hyundai,2014.0,I30,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.1 L / 100 km,57388,White / -,Flat 95 ,94,Ferguson Ground,Quadrant,"Wangara, WA",4 cyl,Hatchback, 5 Doors, 5 Seats,17990
Mrs.,Jillian,Waller,f,+61-489-660-577,justinmcdonald@example.org,2017 Renault Megane GT,Renault,2017.0,Megane,Wagon,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,6 L / 100 km,152494,White / -,57/,901,Tina Tollway,Dip,"Minchinbury, NSW",4 cyl,Wagon, 4 Doors, 5 Seats,22800
,Corey,Lopez,u,+61-481-989-352,qpatterson@example.com,2015 Subaru Outback 2015 Subaru Outback MY15 2.5i AWD Silver Continuous Variable,Subaru,2015.0,Outback,western auto wholesales,USED,Automatic,-,Other,Unleaded,-,133806,Silver / -,62/,62,Debra Port,Access,"Cannington, WA",-,Wagon,,,19990
Dr.,Carlos,Smith,m,+61 406 590 429,brucepeck@example.com,2011 Holden Commodore Berlina,Holden,2011.0,Commodore,Sedan,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,9.3 L / 100 km,148540,Silver / -,8/,7,Ramirez Nook,Amble,"Slacks Creek, QLD",6 cyl,Sedan, 4 Doors, 5 Seats,13990
Mrs.,Sara,Lawson,f,+61725430475,sandramarquez@example.org,2012 Subaru XV 2.0I-L,Subaru,2012.0,XV,SUV,USED,Manual,"4 cyl, 2 L",AWD,Unleaded,7.3 L / 100 km,185230,Silver / -,291/,473,Jason Strip,Tollway,"Biggera Waters, QLD",4 cyl,SUV, 4 Doors, 5 Seats,13999
,Courtney,Stewart,u,0760619013,bwood@example.net,2013 Volvo V40 T5 R-Design,Volvo,2013.0,V40,Hatchback,USED,Automatic,"5 cyl, 2.5 L",Front,Premium,8.1 L / 100 km,145024,White / -,Flat 92 ,10,Williams Terrace,Highroad,"Coburg North, VIC",5 cyl,Hatchback, 5 Doors, 5 Seats,15990
Mrs.,Alisha,Morgan,f,+61.7.1428.7963,kayla84@example.com,2015 Mazda CX-5 Maxx Sport (4X4),Mazda,2015.0,CX-5,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,139022,Silver / -,Suite 320 ,5,Daniel Cross,Court,"Osborne Park, WA",4 cyl,SUV, 4 Doors, 5 Seats,20990
,Dwayne,Humphrey,u,+61 429 069 135,melissa09@example.net,2015 Mercedes-Benz S350 CDI Bluetech,Mercedes-Benz,2015.0,S350,Sedan,USED,Automatic,"6 cyl, 3 L",Rear,Diesel,6 L / 100 km,30088,Silver / -,82/,6,Matthew Parkway,Junction,"Rozelle, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,84800
,Jennifer,Garcia,u,0482.026.529,richardedwards@example.org,2006 Ford Courier GL (4X4),Ford,2006.0,Courier,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,0 L / 100 km,368556,White / -,Level 1 ,80,Sergio Extension,Footway,"Westcourt, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,9999
,John,Jordan,u,0489-946-402,steven54@example.net,2015 Mitsubishi Triton GLX (4X4),Mitsubishi,2015.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.4 L",4WD,Diesel,7.2 L / 100 km,210617,Silver / -,Unit 70 ,383,Brown Quays,Mews,"Minchinbury, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,19995
Mr.,James,Torres,m,+61788155076,kellyking@example.com,2011 Isuzu D-MAX SX (4X4),Isuzu,2011.0,D-MAX,Ute / Tray,USED,Manual,"4 cyl, 3 L",4WD,Diesel,8.1 L / 100 km,278356,White / -,Level 8 ,86,Mary Brow,Gap,"Bayswater, WA",4 cyl,Ute / Tray, 2 Doors, 2 Seats,14990
Dr.,Carlos,Cooper,m,(08) 3077 9779,saundersjoshua@example.com,2013 Nissan Dualis ST (4X2),Nissan,2013.0,Dualis,SUV,USED,Manual,"4 cyl, 2 L",Front,Unleaded,8.1 L / 100 km,218776,Grey / -,Flat 21 ,50,Fitzpatrick Dell,Follow,"Moorooka, QLD",4 cyl,SUV, 4 Doors, 5 Seats,9995
Dr.,Sydney,Terry,f,68740701,elizabeth14@example.org,2016 Toyota Hilux SR (4X4),Toyota,2016.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.5 L / 100 km,240532,White / -,Apt. 745 ,48,Williams Quay,Grange,"Boolaroo, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,27800
,Jimmy,Morton,u,(03).9957.7384,riveralori@example.com,2017 Hyundai Elantra SR Turbo (red),Hyundai,2017.0,Elantra,Sedan,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,7.2 L / 100 km,85500,White / 2017/07,Level 1 ,8,Anthony Intersection,Highway,"Albion, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,25950
Mr.,Mitchell,Dunn,m,6379.3364,ythomas@example.net,2015 Mercedes-Benz B-Class B200 DCT,Mercedes-Benz,2015.0,B-Class,Centenary Motors,USED,Automatic,-,Front,Premium,-,71000,White / Black,112/,52,Andrew Estate,Lane,"Sumner, QLD",-,Hatchback,,,23250
Mrs.,Janice,Fitzpatrick,f,(03) 0836 6159,lturner@example.net,2017 Toyota Tarago GLI,Toyota,2017.0,Tarago,Wagon,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.9 L / 100 km,106799,White / -,Flat 66 ,75,Roberts Roadside,Parade,"Cardiff, NSW",4 cyl,Wagon, 4 Doors, 8 Seats,29913
Mrs.,Rebecca,Mullen,f,+61.461.051.647,andrewtorres@example.com,2015 Holden Commodore SV6 Storm,Holden,2015.0,Commodore,Sedan,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,9.5 L / 100 km,90419,Silver / Black,07/,1,Miller Tor,Break,"Murray Bridge, SA",6 cyl,Sedan, 4 Doors, 5 Seats,28880
Mrs.,Deborah,Cooper,f,0212444412,ujordan@example.net,2005 Subaru Impreza GX (awd),Subaru,2005.0,Impreza,Sedan,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,10 L / 100 km,114251,Silver / Black,Level 7 ,61,Allison Pass,Lees,"Carrum Downs, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,10999
Mrs.,Kaitlin,Cameron,f,+61-429-311-903,hendrickscynthia@example.net,2017 Toyota Corolla G,Toyota,2017.0,Corolla,Autoproject,USED,Automatic,-,Other,-,-,114668,Silver / Black,Apt. 394 ,7,Kimberly Glade,Centreway,"Braeside, VIC",-,Wagon,,,21888
Dr.,Margaret,Collins,f,0483-433-819,robert17@example.net,2014 Mazda CX-9 Luxury (fwd),Mazda,2014.0,CX-9,SUV,USED,Automatic,"6 cyl, 3.7 L",Front,Unleaded,11 L / 100 km,113380,Grey / -,1/,54,Mata Rotary,Bridge,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 7 Seats,26995
,Nicole,Spence,u,(03)-1968-3248,yjenkins@example.com,2006 Toyota RAV4 Cruiser (4X4),Toyota,2006.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.6 L / 100 km,241645,Blue / -,Suite 950 ,979,May Formation,Common,"Maitland, NSW",4 cyl,SUV, 4 Doors, 5 Seats,11990
,Alyssa,Davis,u,0475.116.010,ana61@example.org,2016 Holden Cruze Equipe,Holden,2016.0,Cruze,Adelaide Vehicle Centre West,USED,Automatic,-,Front,Unleaded,-,81329,Red / Grey,Unit 25 ,21,Brown Pocket,Turn,"Cheltenham, SA",-,Hatchback,,,14990
Mr.,Mark,Alexander,m,(03)-0220-6087,stonecheryl@example.com,2011 Honda CR-Z Luxury Hybrid,Honda,2011.0,CR-Z,Coupe,USED,Automatic,"4 cyl, 1.5 L",Front,Hybrid,4.7 L / 100 km,168753,Black / -,Level 9 ,61,Larson Firetrail,Pocket,"Underwood, QLD",4 cyl,Coupe, 2 Doors, 4 Seats,14450
Dr.,Taylor,Lane,f,(02) 9000 2057,rodney25@example.net,2001 Nissan X-Trail GT ( 4X4 ),Nissan,2001.0,X-Trail,Cars from Japan,USED,Automatic,-,Other,Premium,-,89713,Black / Grey,Level 9 ,90,Vanessa Gates,Mall,"Smeaton Grange, NSW",-,SUV,,,18890
,Lydia,Campbell,u,+61.461.005.114,whiteamber@example.net,2017 Volkswagen Golf GTI,Volkswagen,2017.0,Golf,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.7 L / 100 km,58586,White / -,Apt. 378 ,746,Amy Formation,Arcade,"Molendinar, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,30990
Ms.,Ashlee,Mooney,f,(03).8296.7156,onunez@example.com,2011 Ford Territory Titanium (4X4),Ford,2011.0,Territory,SUV,USED,Automatic,"6 cyl, 2.7 L",AWD,Diesel,9 L / 100 km,214700,Blue / -,Apt. 296 ,61,Aguilar Key,Rise,"Nerang, QLD",6 cyl,SUV, 4 Doors, 7 Seats,12989
Mr.,John,Frost,m,+61-8-1660-6269,bhernandez@example.org,2008 Ford Falcon G6E Turbo,Ford,2008.0,Falcon,Sedan,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,11.7 L / 100 km,137752,Blue / Black,Apt. 955 ,86,Catherine Alley,Formation,"Totness, SA",6 cyl,Sedan, 4 Doors, 5 Seats,26490
,Linda,Davis,u,(07).7670.8740,jason64@example.com,2014 Fiat 500 POP,Fiat,2014.0,500,Hatchback,USED,Automatic,"4 cyl, 1.2 L",Front,Premium,5.1 L / 100 km,43981,White / -,143/,971,Jennifer Extension,Quadrangle,"Minchinbury, NSW",4 cyl,Hatchback, 3 Doors, 4 Seats,13800
,Megan,Ross,u,0854-6159,jamescastillo@example.net,2017 Subaru Forester 2.5I-L Eyesight Special EDT,Subaru,2017.0,Forester,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,79602,Blue / -,Flat 99 ,981,Kimberly Close,Key,"Ulladulla, NSW",4 cyl,SUV, 4 Doors, 5 Seats,29990
,Nicole,Peters,u,(08) 2316 9695,megan20@example.org,2016 Mazda 6 Atenza,Mazda,2016.0,6,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,112940,Silver / -,Unit 64 ,335,Lucas Alley,Strip,"Wangara, WA",4 cyl,Sedan, 4 Doors, 5 Seats,24990
,Jennifer,Wilson,u,2537.9637,oduncan@example.net,2015 Porsche Cayenne GTS,Porsche,2015.0,Cayenne,SUV,USED,Automatic,"6 cyl, 3.6 L",AWD,Premium,10 L / 100 km,81708,White / Black,Unit 61 ,891,Julie Byway,Expressway,"Five Dock, NSW",6 cyl,SUV, 4 Doors, 5 Seats,89900
Mr.,Jerry,Nielsen,m,+61322583817,roger79@example.net,2012 Peugeot 308 CC Allure Turbo,Peugeot,2012.0,308,Convertible,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,8.1 L / 100 km,168298,White / -,Flat 13 ,841,Bowen Sound,Park,"Ringwood, VIC",4 cyl,Convertible, 2 Doors, 4 Seats,15990
,Duane,Lamb,u,(02)-2714-0944,wleonard@example.org,2001 Hyundai Elantra GL,Hyundai,2001.0,Elantra,Sedan,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,9 L / 100 km,216332,Green / -,Unit 05 ,86,Daniels Quad,Esplanade,"Nerang, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,4989
Mrs.,Lisa,Gutierrez,f,(02).4159.8090,spineda@example.com,2005 Toyota Landcruiser Prado GXL (4X4),Toyota,2005.0,Landcruiser,SUV,USED,Automatic,"6 cyl, 4 L",4WD,Unleaded,13.2 L / 100 km,293460,Silver / -,Flat 04 ,0,Santana Promenade,Path,"Rocklea, QLD",6 cyl,SUV, 4 Doors, 8 Seats,14999
Mr.,Michael,Young,m,+61-8-3854-7069,kadams@example.net,2015 Kia Sorento SI (4X2),Kia,2015.0,Sorento,SUV,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,9.9 L / 100 km,112553,Silver / -,60/,51,Hill Towers,Plaza,"Springwood, QLD",6 cyl,SUV, 4 Doors, 7 Seats,22988
,Brittany,Alexander,u,(07).4107.5798,lbrewer@example.net,2015 Mitsubishi Lancer XLS,Mitsubishi,2015.0,Lancer,Sedan,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.5 L / 100 km,113986,Red / Black,Level 7 ,41,Judy Entrance,Junction,"Gosnells, WA",4 cyl,Sedan, 4 Doors, 5 Seats,17999
Dr.,Sheila,Clayton,f,0414 532 100,yorkkimberly@example.org,2013 Audi A3 S/Back 1.4 Tfsi Attraction COD,Audi,2013.0,A3,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,4.7 L / 100 km,40260,White / -,Unit 77 ,1,Spears Riviera,Ronde,"Rozelle, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,22800
,Martin,Espinoza,u,+61-8-5994-6993,raymondvelez@example.org,2015 Honda Jazz VTI,Honda,2015.0,Jazz,Hatchback,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8 L / 100 km,78254,Black / -,Level 5 ,1,Eddie Dip,Common,"Moorabbin, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,23950
,Nicole,Villanueva,u,(07) 8168 5269,bjohnson@example.org,2017 Mini Cooper S 5D Hatch,Mini,2017.0,Cooper,Hatchback,USED,Automatic,"4 cyl, 2 L",Front,Premium,5.5 L / 100 km,72501,Yellow / -,1/,479,Snyder Wynd,Access,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,31990
,Robert,Jackson,u,5794.7319,beverly34@example.com,2015 Mercedes-Benz E250,Mercedes-Benz,2015.0,E250,Coupe,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6 L / 100 km,118101,White / Black Leather,Apt. 356 ,7,Dillon Wynd,Intersection,"Rydalmere, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,34950
Mrs.,Kaitlyn,Sullivan,f,5500-9659,riceamber@example.com,2006 Toyota Camry Altise,Toyota,2006.0,Camry,Sedan,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,9.9 L / 100 km,233081,Silver / Grey,617/,58,Andre Trail,Gardens,"East Victoria Park, WA",4 cyl,Sedan, 4 Doors, 5 Seats,7990
Dr.,Renee,Hudson,f,+61 409 027 584,gonzalezdorothy@example.net,2004 FPV Pursuit,FPV,2004.0,Pursuit,Ute / Tray,USED,Manual,"8 cyl, 5.4 L",Rear,Premium,0 L / 100 km,238000,Blue / -,Level 5 ,552,Angela Quadrangle,Roadway,"South Windsor, NSW",8 cyl,Ute / Tray, 2 Doors, 2 Seats,34950
,Kenneth,Allen,u,0425-363-021,jessicaking@example.org,2010 Mazda 3,Mazda,2010.0,3,Starline Autos,USED,Automatic,-,Other,-,-,204767,Grey / -,Suite 419 ,9,Colton Close,Approach,"Bass Hill, NSW",-,Hatchback,,,11950
Mr.,Rodney,Payne,m,6140 8513,hopkinsandrew@example.org,2010 Toyota Estima AERAS 2.4L 7 SEATER,Toyota,2010.0,Estima,USED Dealer ad,USED,-,-,Other,-,-,73220,Black / -,Apt. 863 ,7,Branch Fire Track,Gully,"Moorabbin, VIC",-,Wagon,,,24950
